Project;Test no;Start time;Step no;Algorithm;EQ oracle;|Sigma|;#EQs;#MQs (total);#MQs (learner);#MQs (EQ oracle);#Symbol calls (total);#Symbol calls (learner);#Symbol calls (EQ oracle);Duration (total); Duration (learner); Duration (EQ oracle)
5969;35;"2020-08-16T14:12:36.599+01:00";1;TTT;random_word;12;0;31;12;19;186;12;174;75243;14017;61227
5969;35;"2020-08-16T14:14:35.784+01:00";2;TTT;random_word;12;1;55;35;20;291;85;206;131211;57737;73474
5969;35;"2020-08-16T14:16:47.064+01:00";3;TTT;random_word;12;1;67;47;20;303;131;172;123883;57692;66192
5969;35;"2020-08-16T14:21:21.238+01:00";4;TTT;random_word;12;1;113;94;19;480;306;174;276999;207857;69143
5969;35;"2020-08-17T11:52:22.104+01:00";5;TTT;random_word;12;1;142;122;20;661;455;206;370777;296269;74508
5969;35;"2020-08-17T11:54:33.035+01:00";6;TTT;random_word;12;1;52;52;0;188;188;0;56297;56297;1

5969;36;"2020-08-16T15:10:58.782+01:00";1;KEARNS_VAZIRANI;random_word;12;0;27;12;15;115;12;103;59920;13555;46365
5969;36;"2020-08-16T15:12:26.956+01:00";2;KEARNS_VAZIRANI;random_word;12;1;70;54;16;450;353;97;84874;41735;43139
5969;36;"2020-08-16T15:14:27.697+01:00";3;KEARNS_VAZIRANI;random_word;12;1;61;43;18;295;165;130;139088;77517;61571
5969;36;"2020-08-16T15:19:53.184+01:00";4;KEARNS_VAZIRANI;random_word;12;1;137;119;18;951;822;129;315000;263687;51314
5969;36;"2020-08-16T15:21:56.596+01:00";5;KEARNS_VAZIRANI;random_word;12;1;56;56;0;379;379;0;72000;72000;1
5969;36;"2020-08-17T12:21:18.440+01:00";6;KEARNS_VAZIRANI;sample;12;1;90;70;20;538;272;266;188170;70595;117576
5969;36;"2020-08-17T12:33:29.051+01:00";7;KEARNS_VAZIRANI;random_word;12;1;141;121;20;1507;1218;289;518925;397290;121636
5969;36;"2020-08-17T12:37:30.528+01:00";8;KEARNS_VAZIRANI;random_word;12;1;152;102;50;1753;1001;752;422170;119729;302441

5969;37;"2020-08-17T07:49:53.278+01:00";1;DHC;random_word;12;0;2185;2172;13;9325;9228;97;3337463;3293941;43523

