Project;Test no;Start time;Step no;Algorithm;EQ oracle;|Sigma|;#EQs;#MQs (total);#MQs (learner);#MQs (EQ oracle);#Symbol calls (total);#Symbol calls (learner);#Symbol calls (EQ oracle);Duration (total); Duration (learner); Duration (EQ oracle)
5969;41;"2020-08-17T13:54:49.736+01:00";1;TTT;random_word;10;0;25;10;15;113;10;103;56318;17752;38566
5969;41;"2020-08-17T13:57:08.704+01:00";2;TTT;random_word;10;1;79;64;15;287;192;95;142398;100196;42203
5969;41;"2020-08-17T13:59:53.681+01:00";3;TTT;random_word;10;1;63;44;19;275;124;151;209748;122560;87188
5969;41;"2020-08-17T15:14:48.895+01:00";4;TTT;random_word;10;1;84;54;30;627;233;394;280184;88120;192064

5969;42;"2020-08-17T14:40:11.269+01:00";1;KEARNS_VAZIRANI;random_word;10;0;25;10;15;113;10;103;64090;24945;39146
5969;42;"2020-08-17T14:41:27.312+01:00";2;KEARNS_VAZIRANI;random_word;10;1;32;17;15;192;97;95;78768;36618;42150
5969;42;"2020-08-17T14:43:14.219+01:00";3;KEARNS_VAZIRANI;random_word;10;1;25;25;0;82;82;0;64627;64510;117
5969;42;"2020-08-17T14:58:34.394+01:00";4;KEARNS_VAZIRANI;sample;10;1;33;33;0;161;161;0;86982;86982;1
5969;42;"2020-08-17T14:59:11.742+01:00";5;KEARNS_VAZIRANI;sample;10;1;58;38;20;501;169;332;174522;37061;137461
5969;42;"2020-08-17T15:04:32.286+01:00";6;KEARNS_VAZIRANI;random_word;10;1;114;64;50;1486;605;881;430187;75935;354252

5969;43;"2020-08-17T13:45:44.596+01:00";1;DHC;random_word;10;0;825;810;15;3613;3510;103;1590840;1550583;40257

