Project;Test no;Start time;Step no;Algorithm;EQ oracle;|Sigma|;#EQs;#MQs (total);#MQs (learner);#MQs (EQ oracle);#Symbol calls (total);#Symbol calls (learner);#Symbol calls (EQ oracle);Duration (total); Duration (learner); Duration (EQ oracle)
5969;46;"2020-08-18T15:08:50.903+01:00";1;TTT;random_word;10;0;25;10;15;113;10;103;90768;15307;75462
5969;46;"2020-08-18T15:10:44.367+01:00";2;TTT;random_word;10;1;41;26;15;159;64;95;100315;37848;62467
5969;46;"2020-08-18T15:13:02.134+01:00";3;TTT;random_word;10;1;55;38;17;228;100;128;172726;75195;97531
5969;46;"2020-08-18T15:16:14.612+01:00";4;TTT;random_word;10;1;59;43;16;251;126;125;177920;94813;83107
5969;46;"2020-08-18T15:19:12.920+01:00";5;TTT;random_word;10;1;61;44;17;246;126;120;171736;95090;76646
5969;46;"2020-08-18T15:22:06.064+01:00";6;TTT;random_word;10;1;62;45;17;238;133;105;173960;96253;77708

5969;47;"2020-08-18T14:41:40.384+01:00";1;KEARNS_VAZIRANI;random_word;10;0;25;10;15;113;10;103;110371;18818;91554
5969;47;"2020-08-18T14:44:21.861+01:00";2;KEARNS_VAZIRANI;random_word;10;1;33;18;15;191;96;95;148428;69826;78603
5969;47;"2020-08-18T14:48:55.569+01:00";3;KEARNS_VAZIRANI;random_word;10;1;54;37;17;355;227;128;293140;194944;98196
5969;47;"2020-08-18T14:57:17.317+01:00";4;KEARNS_VAZIRANI;random_word;10;1;66;49;17;560;433;127;488907;403462;85445
5969;47;"2020-08-18T15:00:46.177+01:00";5;KEARNS_VAZIRANI;random_word;10;1;59;42;17;278;158;120;200661;123312;77349
5969;47;"2020-08-18T15:03:52.183+01:00";6;KEARNS_VAZIRANI;random_word;10;1;60;43;17;252;147;105;188031;108537;79494

5969;48;"2020-08-18T13:59:32.900+01:00";1;DHC;random_word;10;0;624;610;14;1810;1710;100;1534044;1444614;89431

